L3,LBK_01,LBK_02,LBK_03,LBK_04,LBK_05,LBK_06,LBK_07,LBK_08,LBK_09,LBK_10,LBK_11,LBK_12,LBK_13,LBK_14,LBK_15,LBK_16,LBK_17,LBK_18,
Apicomplexa,0.020300385,0.030646933,0.059159294,0.021023955,0.012768237,0.042318976,0.009654941,0.004276384,0.00560829,0.008247609,0.005760359,0.011266226,0.020814496,0.070880339,0.041500476,0.060239262,0.036683526,0.009578491,0.026151565
Syndiniales,0.037087532,0.141489097,0.133793175,0.106683446,0.283639394,0.21522554,0.047910896,0.019836381,0.053818587,0.086959784,0.049830184,0.115811205,0.119089413,0.121555198,0.178982387,0.208765074,0.107219176,0.081634874,0.117185075
Dinophyceae,0.063148434,0.12495536,0.235717504,0.111863082,0.174767106,0.204594962,0.118154086,0.084888561,0.075471981,0.107908706,0.090348821,0.183950876,0.086786162,0.301400081,0.267119054,0.079738131,0.063092101,0.215325585,0.143846144
Bacillariophyta,0.090055806,0.043873922,0.173299348,0.115735596,0.065418615,0.074646374,0.116502953,0.072663676,0.075801881,0.202036407,0.139941572,0.136961616,0.088612308,0.128918209,0.120627582,0.182837229,0.218801196,0.306321259,0.130725308
Pelagophyceae,0.006726844,0.013293123,0.013135403,0.009565228,0.022203042,0.025327486,0.01715501,0.005496549,0.0121313,0.022493477,0.005873912,0.018543788,0.042019042,0.014645448,0.016783736,0.038550302,0.008690078,0.004789246,0.016523501
MAST,0.011783213,0.077351429,0.040605793,0.031945176,0.092264648,0.108426037,0.049226205,0.012712949,0.028191401,0.05452419,0.027759136,0.0701515,0.040405652,0.028364221,0.031608487,0.065938205,0.020122518,0.013388119,0.044709382
Cercozoa,0.000846474,0.006878035,0.007947223,0.007378541,0.006101372,0.015626362,0.019058015,0.007251262,0.021983296,0.011651621,0.017177837,0.022724888,0.036558339,0.014796534,0.004394478,0.02863602,0.015652825,0.02849057,0.015175205
Foraminifera,0.002082474,0.004510404,0.040615786,0.004129051,0.016339772,0.009265445,0.013712814,0.005101448,0.001799451,0.003074109,0.028306269,0.006507819,0.009006613,0.005066479,0.004906286,0.039068387,0.006731249,0.004898092,0.011395664
Radiolaria,0.019910859,0.029363914,0.020192935,0.022709781,0.061519689,0.044555462,0.012425488,0.0026495,0.009012252,0.014080918,0.009559302,0.01128372,0.023261173,0.04265713,0.056995869,0.048299738,0.025126434,0.018177366,0.026210085
Ciliophora,0.020232969,0.035077978,0.025421105,0.015758807,0.039138068,0.060210873,0.053843785,0.027842984,0.020588721,0.060717394,0.077217687,0.053252161,0.030654399,0.032947218,0.028987683,0.042059157,0.021333429,0.01189148,0.036509772
Copepod,0.68158358,0.417509889,0.161503474,0.494606581,0.092353939,0.098027825,0.470349536,0.747507378,0.661703181,0.35889092,0.523758891,0.266540709,0.403311882,0.136623692,0.167749109,0.12238602,0.399618919,0.259843804,0.359103852
Other,0.046241433,0.07504993,0.08860899,0.058600765,0.133486116,0.101774668,0.072006267,0.009772933,0.033889667,0.069414873,0.024466033,0.103005494,0.099480523,0.102145448,0.080344854,0.083482475,0.076928553,0.045661105,0.072464451