region,location,site,substrate,average,stdev
Lombok,NE,LBK_01,Hard Coral,74.83333333,8.818541074
Lombok,NE,LBK_02,Hard Coral,20.33333333,6.186005712
Lombok,NE,LBK_03,Hard Coral,21.83333333,7.194905605
Lombok,NE,LBK_04,Hard Coral,47.5,10.89495296
Lombok,NE,LBK_05,Hard Coral,24.66666667,10.93008082
Lombok,NE,LBK_06,Hard Coral,11.83333333,7.05454936
Lombok,SW,LBK_07,Hard Coral,33.16666667,8.795832346
Lombok,SW,LBK_08,Hard Coral,8.333333333,9.688481133
Lombok,SW,LBK_09,Hard Coral,28.5,7.791020472
Lombok,SW,LBK_10,Hard Coral,15.33333333,8.778762251
Lombok,SW,LBK_11,Hard Coral,20.66666667,16.00833116
Lombok,SW,LBK_12,Hard Coral,21.16666667,11.83920042
Lombok,NW,LBK_13,Hard Coral,10.66666667,6.860515044
Lombok,NW,LBK_14,Hard Coral,34.33333333,20.67526703
Lombok,NW,LBK_15,Hard Coral,9.666666667,10.91176735
Lombok,NW,LBK_16,Hard Coral,4.666666667,3.559026084
Lombok,NW,LBK_17,Hard Coral,22,5.176871642
Lombok,NW,LBK_18,Hard Coral,9.5,1.643167673
Lombok,NE,LBK_01,Available substrate,5.833333333,3.250640962
Lombok,NE,LBK_02,Available substrate,50.5,9.974968672
Lombok,NE,LBK_03,Available substrate,33,19.47305831
Lombok,NE,LBK_04,Available substrate,22.5,9.6072889
Lombok,NE,LBK_05,Available substrate,5.166666667,4.16733328
Lombok,NE,LBK_06,Available substrate,13.33333333,12.98717316
Lombok,SW,LBK_07,Available substrate,12.33333333,8.846845012
Lombok,SW,LBK_08,Available substrate,12.66666667,22.65097496
Lombok,SW,LBK_09,Available substrate,11.33333333,11.87714893
Lombok,SW,LBK_10,Available substrate,7.5,4.50555213
Lombok,SW,LBK_11,Available substrate,11.33333333,11.55277744
Lombok,SW,LBK_12,Available substrate,9,4.816637832
Lombok,NW,LBK_13,Available substrate,44.66666667,23.69528786
Lombok,NW,LBK_14,Available substrate,24.5,12.73970172
Lombok,NW,LBK_15,Available substrate,15.16666667,15.07868252
Lombok,NW,LBK_16,Available substrate,15.83333333,10.41953294
Lombok,NW,LBK_17,Available substrate,35.16666667,24.97532115
Lombok,NW,LBK_18,Available substrate,14.66666667,16.68132689
Lombok,NE,LBK_01,Other,14.83333333,5.706721184
Lombok,NE,LBK_02,Other,3.833333333,3.371448749
Lombok,NE,LBK_03,Other,6.5,4.086563348
Lombok,NE,LBK_04,Other,5.5,4.277849927
Lombok,NE,LBK_05,Other,5,6.196773354
Lombok,NE,LBK_06,Other,1.5,2.34520788
Lombok,SW,LBK_07,Other,2.666666667,2.422120283
Lombok,SW,LBK_08,Other,1.166666667,1.940790217
Lombok,SW,LBK_09,Other,0.333333333,0.516397779
Lombok,SW,LBK_10,Other,11.66666667,8.86942313
Lombok,SW,LBK_11,Other,2,1.414213562
Lombok,SW,LBK_12,Other,4.5,4.50555213
Lombok,NW,LBK_13,Other,0.666666667,1.632993162
Lombok,NW,LBK_14,Other,4.666666667,5.046450898
Lombok,NW,LBK_15,Other,5.166666667,4.622409184
Lombok,NW,LBK_16,Other,3.833333333,8.447879418
Lombok,NW,LBK_17,Other,0.333333333,0.516397779
Lombok,NW,LBK_18,Other,2.166666667,4.355073669
Lombok,NE,LBK_01,Rubble,4.5,3.728270376
Lombok,NE,LBK_02,Rubble,18,4.816637832
Lombok,NE,LBK_03,Rubble,29,14.12798641
Lombok,NE,LBK_04,Rubble,18.66666667,8.59457193
Lombok,NE,LBK_05,Rubble,9.833333333,6.882344562
Lombok,NE,LBK_06,Rubble,17.66666667,17.63708215
Lombok,SW,LBK_07,Rubble,39.16666667,13.12122962
Lombok,SW,LBK_08,Rubble,77.83333333,32.28880095
Lombok,SW,LBK_09,Rubble,57.5,18.09696107
Lombok,SW,LBK_10,Rubble,11.16666667,13.49691323
Lombok,SW,LBK_11,Rubble,61.16666667,17.78107608
Lombok,SW,LBK_12,Rubble,49.33333333,10.23067284
Lombok,NW,LBK_13,Rubble,38.66666667,21.74089848
Lombok,NW,LBK_14,Rubble,30.83333333,34.48139595
Lombok,NW,LBK_15,Rubble,57.16666667,18.33484842
Lombok,NW,LBK_16,Rubble,53.5,31.89200527
Lombok,NW,LBK_17,Rubble,42.5,28.02677291
Lombok,NW,LBK_18,Rubble,57.33333333,28.33137248
Lombok,NE,LBK_01,Algae,0,0
Lombok,NE,LBK_02,Algae,1,2
Lombok,NE,LBK_03,Algae,1,1.673320053
Lombok,NE,LBK_04,Algae,0.333333333,0.816496581
Lombok,NE,LBK_05,Algae,7.5,10.82127534
Lombok,NE,LBK_06,Algae,3,4.195235393
Lombok,SW,LBK_07,Algae,1.666666667,1.032795559
Lombok,SW,LBK_08,Algae,0,0
Lombok,SW,LBK_09,Algae,0.166666667,0.40824829
Lombok,SW,LBK_10,Algae,1.5,3.674234614
Lombok,SW,LBK_11,Algae,4.666666667,6.742897498
Lombok,SW,LBK_12,Algae,0.666666667,1.211060142
Lombok,NW,LBK_13,Algae,4.833333333,10.43871001
Lombok,NW,LBK_14,Algae,4,4.289522118
Lombok,NW,LBK_15,Algae,0.833333333,1.169045194
Lombok,NW,LBK_16,Algae,20.16666667,22.88594911
Lombok,NW,LBK_17,Algae,0,0
Lombok,NW,LBK_18,Algae,5,7.127411872
Lombok,NE,LBK_01,Soft Coral,0,0
Lombok,NE,LBK_02,Soft Coral,6.333333333,3.829708431
Lombok,NE,LBK_03,Soft Coral,8.5,5.357238094
Lombok,NE,LBK_04,Soft Coral,5.5,5.89067059
Lombok,NE,LBK_05,Soft Coral,47.66666667,29.14561145
Lombok,NE,LBK_06,Soft Coral,52.66666667,28.3877908
Lombok,SW,LBK_07,Soft Coral,11,15.6588633
Lombok,SW,LBK_08,Soft Coral,0,0
Lombok,SW,LBK_09,Soft Coral,2.166666667,4.833908012
Lombok,SW,LBK_10,Soft Coral,52.83333333,13.80458861
Lombok,SW,LBK_11,Soft Coral,0.166666667,0.40824829
Lombok,SW,LBK_12,Soft Coral,15.33333333,10.87504789
Lombok,NW,LBK_13,Soft Coral,0.5,0.836660027
Lombok,NW,LBK_14,Soft Coral,1.666666667,1.861898673
Lombok,NW,LBK_15,Soft Coral,12,21.31666015
Lombok,NW,LBK_16,Soft Coral,2,4
Lombok,NW,LBK_17,Soft Coral,0,0
Lombok,NW,LBK_18,Soft Coral,11.33333333,11.30781441
Lombok,NE,LBK_01,No Data,0,0
Lombok,NE,LBK_02,No Data,0,0
Lombok,NE,LBK_03,No Data,0.166666667,0.40824829
Lombok,NE,LBK_04,No Data,0,0
Lombok,NE,LBK_05,No Data,0.166666667,0.40824829
Lombok,NE,LBK_06,No Data,0,0
Lombok,SW,LBK_07,No Data,0,0
Lombok,SW,LBK_08,No Data,0,0
Lombok,SW,LBK_09,No Data,0,0
Lombok,SW,LBK_10,No Data,0,0
Lombok,SW,LBK_11,No Data,0,0
Lombok,SW,LBK_12,No Data,0,0
Lombok,NW,LBK_13,No Data,0,0
Lombok,NW,LBK_14,No Data,0,0
Lombok,NW,LBK_15,No Data,0,0
Lombok,NW,LBK_16,No Data,0,0
Lombok,NW,LBK_17,No Data,0,0
Lombok,NW,LBK_18,No Data,0,0
Lombok,NE,LBK_01,Total Coral,74.83333333,8.818541074
Lombok,NE,LBK_02,Total Coral,26.66666666,6.186005712
Lombok,NE,LBK_03,Total Coral,30.33333333,7.194905605
Lombok,NE,LBK_04,Total Coral,53,10.89495296
Lombok,NE,LBK_05,Total Coral,72.33333334,10.93008082
Lombok,NE,LBK_06,Total Coral,64.5,7.05454936
Lombok,SW,LBK_07,Total Coral,44.16666667,8.795832346
Lombok,SW,LBK_08,Total Coral,8.333333333,9.688481133
Lombok,SW,LBK_09,Total Coral,30.66666667,7.791020472
Lombok,SW,LBK_10,Total Coral,68.16666666,8.778762251
Lombok,SW,LBK_11,Total Coral,20.83333334,16.00833116
Lombok,SW,LBK_12,Total Coral,36.5,11.83920042
Lombok,NW,LBK_13,Total Coral,11.16666667,6.860515044
Lombok,NW,LBK_14,Total Coral,36,20.67526703
Lombok,NW,LBK_15,Total Coral,21.66666667,10.91176735
Lombok,NW,LBK_16,Total Coral,6.666666667,3.559026084
Lombok,NW,LBK_17,Total Coral,22,5.176871642
Lombok,NW,LBK_18,Total Coral,20.83333333,1.643167673